Estuary,Sampling site,"2,4,5-T",Triclopyr,Trifloxysulfuron,Trinexapac (acid),"2,4-D","2,4-DB","2,4-DP (Dichlorprop)","3,4-Dichloroaniline",Acetamiprid,Acifluorfen,Ametryn,Amicarbazone,Asulam,Atrazine,Atrazine2.hydroxy,Bromacil,Bromoxynil,Chlorpyrifos,Chlorpyrifos oxon,Clomazone,Clothianidin,Cyanazine,"Dalapon (2,2-DPA)",DCPMU,DCPU,Desethyl Atrazine,Desisopropyl Atrazine,Diazinon,Dicamba,Dinotefuran,Diuron,Ethametsulfuron methyl,Ethoxysulfuron,Fipronil,Fipronil Desulfinyl,Fipronil sulfide,Fipronil sulfone,Flamprop-methyl,Fluazifop (acid),Fluometuron,Fluroxypyr,Flusilazole,Flutriafol,Halosulfuron methyl,Haloxyfop (acid),Hexazinone,Imazapic,Imazapyr,Imazethapyr,Imidacloprid,Imidacloprid metabolites,Ioxynil,Isoxaflutole metabolite (DKN),MCPA,MCPB,Mecoprop,Mesosulfuron methyl,Methoxyfenozide,Metolachlor,Metolachlor-OXA,Metribuzin,Metsulfuron methyl,Molinate,N-Desmethyl Acetamiprid,Napropamide,Pendimethalin,Picloram,Prometryn,Propachlor,Propazin-2-hydroxy,Propoxur,Sethoxydim,Simazine,Sulfosulfuron,Tebuthiuron,Terbuthylazine,Terbuthylazine desethyl,Terbutryn,Thiacloprid,Thiamethoxam,msPAF_Total
Mackay Harbour,MA_S11,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.06506276
Mackay Harbour,MA_S12,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.00232304
Mackay Harbour,MA_S13,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.30339944
Mackay Harbour,MA_S14,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.16403725
St Helen's/Murray Creek,SH_S01,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.00232304
St Helen's/Murray Creek,SH_S02,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.00232304
St Helen's/Murray Creek,SH_S03,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.00232304
St Helen's/Murray Creek,SH_S04,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.00232304
St Helen's/Murray Creek,SH_S05,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.00232304
St Helen's/Murray Creek,SH_S06,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.00232304
